year,fund name,model,mape,rmse
2019.0,VGHCX_P_N,Autoregressive Model,0.1579240104916452,0.08292783501559071
2019.0,VFAIX_P_N,Autoregressive Model,0.10482805021271155,0.04778353698840586
2019.0,VSPVX_P_N,Autoregressive Model,0.14955584649469472,0.05214311582716365
2019.0,VITAX_P_N,Autoregressive Model,0.12460470713807954,0.041761241733328715
2019.0,VGSLX_P_N,Autoregressive Model,0.16566041028091993,0.07566332843677724
2019.0,VINAX_P_N,Autoregressive Model,0.16306250204927963,0.0584765602725227
2019.0,VTCAX_P_N,Autoregressive Model,11.689213273908832,0.05690053301352927
2019.0,VCSAX_P_N,Autoregressive Model,0.2480349134249095,0.07939677958360282
2019.0,VENAX_P_N,Autoregressive Model,0.10755312450514981,0.04578662072819073
2019.0,VCDAX_P_N,Autoregressive Model,0.13584246448390125,0.04391746443337026
2020.0,VCDAX_V_N,Autoregressive Model,0.05043598080812222,0.07986821765441851
2020.0,VCSAX_V_N,Autoregressive Model,0.04668313996502487,0.06969847926243121
2020.0,VENAX_V_N,Autoregressive Model,0.05749883702292024,0.13369302269801658
2020.0,VFAIX_V_N,Autoregressive Model,0.07618993212270489,0.08217187073911737
2020.0,VGSLX_V_N,Autoregressive Model,0.09246972048466591,0.0802774376738453
2020.0,VGHCX_V_N,Autoregressive Model,0.09821414339143972,0.0787218278395746
2020.0,VITAX_V_N,Autoregressive Model,0.11215625335454732,0.08945372972336792
2020.0,VSPVX_V_N,Autoregressive Model,0.04426023798677332,0.07330258218300491
2020.0,VTCAX_V_N,Autoregressive Model,6.43243162012291,0.08312779310878073
2020.0,VUIAX_V_N,Autoregressive Model,0.05427137829348307,0.06653201118152582
2020.0,VINAX_V_N,Autoregressive Model,0.04049902320330276,0.07523411873155182
2020.0,VUIAX_P_N,Autoregressive Model,0.09513733828504567,0.16346317924867468
2020.0,VGHCX_P_N,Autoregressive Model,0.08503455808796323,0.10125085724101161
2020.0,VFAIX_P_N,Autoregressive Model,0.060620008995323875,0.10369985724900378
2020.0,VSPVX_P_N,Autoregressive Model,0.06659482608745335,0.10566958474695165
2020.0,VITAX_P_N,Autoregressive Model,0.08376374458227284,0.1105737343565621
2020.0,VGSLX_P_N,Autoregressive Model,0.15068631542247074,0.1212198453707639
2020.0,VINAX_P_N,Autoregressive Model,0.05314298986634582,0.10465559611226471
2020.0,VTCAX_P_N,Autoregressive Model,0.06153843623250653,0.07021879686213695
2020.0,VCSAX_P_N,Autoregressive Model,0.0882975043826277,0.13983776253232197
2020.0,VENAX_P_N,Autoregressive Model,0.048610458649968755,0.05809092473043367
2020.0,VCDAX_P_N,Autoregressive Model,0.05050446114677455,0.08132062127964498
2021.0,VCDAX_V_N,Autoregressive Model,0.32988212583481996,0.07061843454891148
2021.0,VCSAX_V_N,Autoregressive Model,0.10552854823041534,0.05575649566112279
2021.0,VENAX_V_N,Autoregressive Model,0.19053008230297733,0.09621544190884095
2021.0,VFAIX_V_N,Autoregressive Model,0.09534999742461521,0.05777414590081892
2021.0,VGSLX_V_N,Autoregressive Model,0.12417203501031261,0.05170374204994676
2021.0,VGHCX_V_N,Autoregressive Model,0.36816191443736784,0.05753389911228098
2021.0,VITAX_V_N,Autoregressive Model,0.09463986700763705,0.052534282446457116
2021.0,VSPVX_V_N,Autoregressive Model,0.08108359187678904,0.04456364035078846
2021.0,VTCAX_V_N,Autoregressive Model,0.11057584032793527,0.07215186237557066
2021.0,VUIAX_V_N,Autoregressive Model,0.11644540706660858,0.05386903213213342
2021.0,VINAX_V_N,Autoregressive Model,0.10776113047184778,0.062487441444453645
2021.0,VUIAX_P_N,Autoregressive Model,0.24087100858371738,0.06523044037573111
2021.0,VGHCX_P_N,Autoregressive Model,0.06814977652196638,0.05746091305712912
2021.0,VFAIX_P_N,Autoregressive Model,0.11119299658900278,0.09377946742097343
2021.0,VSPVX_P_N,Autoregressive Model,0.21000620950608057,0.09114771333159023
2021.0,VITAX_P_N,Autoregressive Model,0.13252607586129672,0.1106642372683611
2021.0,VGSLX_P_N,Autoregressive Model,0.17362895958511557,0.07231495006122023
2021.0,VINAX_P_N,Autoregressive Model,0.15510614823138227,0.10004910546430372
2021.0,VTCAX_P_N,Autoregressive Model,0.1014425299758918,0.09887897112108632
2021.0,VCSAX_P_N,Autoregressive Model,0.5527124894489159,0.0678339285643621
2021.0,VENAX_P_N,Autoregressive Model,0.19689888208209774,0.0662212965420719
2021.0,VCDAX_P_N,Autoregressive Model,0.1417511775737424,0.09633898634497573
2022.0,VCDAX_V_N,Autoregressive Model,0.19127775443011633,0.14793511237934842
2022.0,VCSAX_V_N,Autoregressive Model,0.12003059373629393,0.10516094566650672
2022.0,VENAX_V_N,Autoregressive Model,0.12039437816202772,0.1040731959717085
2022.0,VFAIX_V_N,Autoregressive Model,0.08714609515654781,0.062715979100195
2022.0,VGSLX_V_N,Autoregressive Model,0.1562432041525037,0.11031773252484489
2022.0,VGHCX_V_N,Autoregressive Model,0.23451293741819687,0.12643503523914174
2022.0,VITAX_V_N,Autoregressive Model,0.14506463134611783,0.12003759516648789
2022.0,VSPVX_V_N,Autoregressive Model,0.10788449597888074,0.0683844242349626
2022.0,VTCAX_V_N,Autoregressive Model,0.15643472924825036,0.13827136658024286
2022.0,VUIAX_V_N,Autoregressive Model,0.09263082159421972,0.06348262963605962
2022.0,VINAX_V_N,Autoregressive Model,0.1240546373415619,0.08312043253339559
2022.0,VUIAX_P_N,Autoregressive Model,0.07617969376054953,0.1142495150424421
2022.0,VGHCX_P_N,Autoregressive Model,0.09958160185637618,0.08654554018422418
2022.0,VFAIX_P_N,Autoregressive Model,0.13423938656155518,0.10407914321152988
2022.0,VSPVX_P_N,Autoregressive Model,0.06874804817479598,0.08776577019272043
2022.0,VITAX_P_N,Autoregressive Model,0.138704479400696,0.20117945911450266
2022.0,VGSLX_P_N,Autoregressive Model,0.08405778065462476,0.11152503536236597
2022.0,VINAX_P_N,Autoregressive Model,0.06318085136269323,0.08459183588085305
2022.0,VTCAX_P_N,Autoregressive Model,0.13260702282514725,0.16258231079497346
2022.0,VCSAX_P_N,Autoregressive Model,0.05926454462970404,0.09604832966546734
2022.0,VENAX_P_N,Autoregressive Model,0.1100665118381898,0.11629737672303196
2022.0,VCDAX_P_N,Autoregressive Model,0.15218536909646946,0.16966077975731703
2023.0,VCDAX_V_N,Autoregressive Model,0.8591401735946752,0.34058520232167677
2023.0,VCSAX_V_N,Autoregressive Model,0.762410378149782,0.287762097162079
2023.0,VENAX_V_N,Autoregressive Model,0.9772929231118742,0.5959395956490511
2023.0,VFAIX_V_N,Autoregressive Model,0.5208257906275869,0.46223552732480955
2023.0,VGSLX_V_N,Autoregressive Model,0.686925358041472,0.40791362201824244
2023.0,VGHCX_V_N,Autoregressive Model,0.7348288801383193,0.4272331047803954
2023.0,VITAX_V_N,Autoregressive Model,0.8762399333842333,0.30599553470778224
2023.0,VSPVX_V_N,Autoregressive Model,0.80608381998408,0.29967941612775073
2023.0,VTCAX_V_N,Autoregressive Model,0.9447648390483929,0.8586013189248136
2023.0,VUIAX_V_N,Autoregressive Model,0.7155151951053254,0.3309947074596782
2023.0,VINAX_V_N,Autoregressive Model,0.8799732878349545,0.43895520677671934
2023.0,VUIAX_P_N,Autoregressive Model,0.37765450976769255,0.320827486353688
2023.0,VGHCX_P_N,Autoregressive Model,0.45084826890749025,0.2461102709425233
2023.0,VFAIX_P_N,Autoregressive Model,0.3505011492740406,0.45746917802907006
2023.0,VSPVX_P_N,Autoregressive Model,0.4795534610064188,0.3909379872963843
2023.0,VITAX_P_N,Autoregressive Model,0.9170643101704351,0.6248805421848872
2023.0,VGSLX_P_N,Autoregressive Model,0.45936356957215385,0.45285096985200574
2023.0,VINAX_P_N,Autoregressive Model,0.6442141630705804,0.410562923270784
2023.0,VTCAX_P_N,Autoregressive Model,0.8289247109064262,0.5276199012136485
2023.0,VCSAX_P_N,Autoregressive Model,0.6348580869447837,0.4798012087042577
2023.0,VENAX_P_N,Autoregressive Model,0.34928535842162484,0.3371620396611991
2023.0,VCDAX_P_N,Autoregressive Model,0.5017626861653693,0.4080435735502354
